"stimuliID","PAQ","T","comparisons","altP","altP.adjusted"
"22","monotonous",-2.67833569396029,"MY:M - SG",0.00876375797353372,0.0263
"22","monotonous",-2.50697531546791,"MY:O - SG",0.0139316580999801,0.0418
"22","chaotic",2.81428036348104,"MY:M - MY:O",0.00597859064935929,0.0179
"22","chaotic",2.51016743420926,"MY:M - SG",0.0138145228275188,0.0414
"22","ISOEV",2.79439207768982,"MY:M - MY:O",0.00632769634828004,0.019
"22","ISOEV",3.10375433240599,"MY:M - SG",0.00253888878528106,0.0076
"24","pleasant",-2.6370011384524,"MY:O - SG",0.00981923804987547,0.0295
"24","calm",-2.52472291371774,"MY:O - SG",0.0132915348481007,0.0399
"25","vibrant",-2.98163619704302,"MY:M - MY:O",0.00366897787095115,0.011
"25","vibrant",-2.92806869654558,"MY:M - SG",0.00429852040107466,0.0129
